line,x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
276,-1.332,1.012,0.109,-49.39,-21.707,-269.116
277,-1.17,0.993,0.127,-79.207,-19.726,-265.732
278,-1.022,0.912,0.113,-104.97,-4.756,-259.97
279,-0.874,0.812,0.04,-118.262,21.494,-250.976
280,-0.751,0.823,0.095,-118.933,51.677,-236.341
281,-0.74,0.922,0.253,-109.573,74.604,-220.152
282,-0.834,1.105,0.154,-83.75,80.274,-199.878
283,-0.908,1.302,-0.184,-50.488,84.543,-172.713
284,-0.771,1.404,-0.439,-23.72,102.774,-142.744
285,-0.596,1.397,-0.594,1.159,135.244,-111.799
286,-0.63,1.42,-0.715,17.591,189.939,-75.122
287,-0.876,1.514,-0.807,18.841,246.524,-36.372
288,-1.254,1.684,-0.874,3.079,268.323,-4.726
289,-1.672,1.762,-0.846,-36.89,243.476,13.902
290,-1.938,1.722,-0.863,-84.878,177.104,27.104
291,-2.007,1.67,-1.037,-124.329,89.878,42.805
292,-2.041,1.573,-1.227,-158.72,29.329,63.506
293,-2.207,1.399,-1.304,-184.878,23.537,96.22
294,-2.53,1.267,-1.401,-196.25,65.61,140.884
295,-3.064,1.252,-1.635,-204.726,129.512,188.171
296,-3.879,1.182,-1.833,-223.841,170.213,228.963
297,-4.761,0.999,-1.965,-247.47,152.012,268.841
298,-5.298,0.655,-2.016,-274.543,77.073,311.189
299,-5.199,0.186,-1.951,-296.738,-12.561,356.86
300,-4.643,-0.175,-1.825,-299.482,-67.165,406.982
301,-4.133,-0.385,-1.695,-292.896,-63.628,455.579
302,-3.923,-0.592,-1.58,-291.982,-21.677,490.366
303,-3.822,-0.895,-1.366,-297.256,20.854,503.445
304,-3.62,-1.235,-0.98,-298.628,30.213,500.03
305,-3.167,-1.596,-0.554,-292.348,3.201,485.518
306,-2.271,-1.976,-0.4,-273.598,-39.451,456.402
307,-1.119,-2.28,-0.621,-241.433,-63.963,410.854
308,0.017,-2.439,-0.637,-195.366,-25.03,350.579
309,0.764,-2.514,-0.119,-144.695,63.14,269.451
310,0.703,-2.576,0.372,-126.037,112.348,184.573
311,0.268,-2.847,0.611,-139.573,68.902,118.628
312,0.337,-3.262,0.655,-152.927,-36.28,50.396
313,0.834,-3.41,0.724,-147.134,-136.738,-30
314,1.247,-3.155,0.758,-119.848,-178.902,-101.677
315,1.263,-2.793,0.736,-71.768,-161.707,-151.829
316,0.976,-2.416,0.659,-8.171,-109.482,-190.671
317,0.511,-1.971,0.499,62.256,-53.537,-218.506
318,-0.051,-1.468,0.213,129.207,-12.409,-230.091
319,-0.633,-0.952,-0.182,180.64,16.89,-231.402
320,-1.197,-0.441,-0.573,213.201,42.287,-231.006
321,-1.656,0.071,-0.843,226.646,57.561,-224.451
322,-1.968,0.592,-1.027,225.945,52.317,-204.055
323,-2.065,1.155,-1.135,217.104,30.183,-174.36
324,-2.013,1.7,-1.093,195.945,0.579,-141.128
325,-1.89,2.054,-0.973,160.854,-25.915,-111.402
326,-1.811,2.255,-0.812,125.579,-44.604,-90.457
327,-1.851,2.364,-0.605,93.598,-55.061,-71.067
328,-2.023,2.411,-0.421,65.427,-66.463,-46.646
329,-2.229,2.413,-0.287,40.488,-83.689,-18.415
330,-2.332,2.36,-0.163,20.366,-107.073,13.628
331,-2.318,2.24,-0.086,5.854,-131.098,46.951
332,-2.237,2.081,-0.022,-3.232,-149.726,79.787
333,-2.09,1.903,0.055,-8.262,-160.335,111.89
334,-1.937,1.728,0.049,-11.006,-164.665,141.86
335,-1.78,1.56,0.008,-12.561,-165,169.939
336,-1.555,1.381,-0.025,-15.03,-161.311,195.366
337,-1.289,1.192,-0.034,-20.518,-152.561,214.207
338,-1.101,1.001,-0.077,-27.835,-147.043,223.171
339,-0.961,0.786,-0.134,-35.122,-154.207,224.97
